id,gender,nationality,level,years,like_online,hours,learned,improve,interest,all_chinese_online,online_required,online_elective,has_internet,speed,can_replace,easy_tencent_meeting,easy_wechat,use_tencent_meeting,use_zoom,use_wechat,blocked_qq,blocked_chaoxing,blocked_dingtalk,blocked_mooc,available_zoom,available_whatsapp,available_tencent_meeting,available_wechat,prob_unstable_net,prob_no_power,prob_no_signal,prob_no_time,home_affect_very,interact_qa,interact_dialogue,interact_game,interact_scenario,interact_roleplay,home_noise,home_affect,work,stress,interact,content_volume,time_sat,prefer_minutes
1,male,Pakistan,beginner,1-2,4.0,4.0,3.0,3.0,2.0,0,0,0,0,4.0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,noisy,1.0,part-time,1.0,3.0,2.0,4.0,30.0
2,male,Pakistan,intermediate,3-4,2.0,2.0,3.0,3.0,3.0,0,1,1,1,4.0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,lively,3.0,work-and-study,1.0,4.0,1.0,4.0,45.0
3,female,Pakistan,intermediate,5-6,4.0,1.0,3.0,3.0,4.0,0,1,0,1,3.0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,quiet,3.0,work-and-study,2.0,2.0,2.0,2.0,45.0
4,female,Pakistan,intermediate,3-4,3.0,2.0,2.0,3.0,3.0,1,1,0,1,3.0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,lively,2.0,part-time,3.0,2.0,3.0,2.0,30.0
5,female,Pakistan,intermediate,3-4,2.0,1.0,2.0,4.0,4.0,1,1,0,0,4.0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,lively,3.0,study-only,2.0,2.0,2.0,2.0,60.0
6,male,Pakistan,intermediate,5-6,1.0,3.0,2.0,2.0,2.0,1,1,1,1,3.0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,quiet,2.0,work-and-study,3.0,2.0,2.0,3.0,60.0
7,male,Pakistan,advanced,3-4,3.0,3.0,4.0,3.0,3.0,1,0,1,1,4.0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,lively,2.0,work-and-study,2.0,3.0,2.0,3.0,45.0
8,female,Pakistan,advanced,3-4,2.0,2.0,1.0,2.0,2.0,1,1,0,1,3.0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,quiet,3.0,study-only,2.0,2.0,3.0,3.0,45.0
9,female,Pakistan,advanced,5-6,,4.0,2.0,3.0,3.0,0,0,0,1,3.0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,lively,3.0,study-only,2.0,2.0,2.0,3.0,45.0
10,male,Pakistan,advanced,5-6,3.0,1.0,2.0,2.0,2.0,0,1,0,1,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,lively,1.0,part-time,1.0,2.0,2.0,2.0,60.0
