id,gender,nationality,level,years,like_online,hours,learned,improve,interest,all_chinese_online,online_required,online_elective,has_internet,speed,can_replace,easy_tencent_meeting,easy_wechat,use_tencent_meeting,use_zoom,use_wechat,blocked_qq,blocked_chaoxing,blocked_dingtalk,blocked_mooc,available_zoom,available_whatsapp,available_tencent_meeting,available_wechat,prob_unstable_net,prob_no_power,prob_no_signal,prob_no_time,home_affect_very,interact_qa,interact_dialogue,interact_game,interact_scenario,interact_roleplay,home_noise,home_affect,work,stress,interact,content_volume,time_sat,prefer_minutes,learning_appraisal,poor_net,high_stress,some_stress,learn_little,cannot_replace,female,pakistani,working,home_not_quiet,infrastructure_problems
1,male,Pakistan,beginner,1-2,4.0,4.0,3.0,3.0,2.0,0,0,0,0,4.0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,noisy,1.0,part-time,1.0,3.0,2.0,4.0,30.0,2.6666666666666665,1,1,1,1,1,0,1,1,1,1
2,male,Pakistan,intermediate,3-4,2.0,2.0,3.0,3.0,3.0,0,1,1,1,4.0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,lively,3.0,work-and-study,1.0,4.0,1.0,4.0,45.0,3.0,1,1,1,1,1,0,1,1,1,2
3,female,Pakistan,intermediate,5-6,4.0,1.0,3.0,3.0,4.0,0,1,0,1,3.0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,quiet,3.0,work-and-study,2.0,2.0,2.0,2.0,45.0,3.3333333333333335,0,0,1,1,1,1,1,1,0,1
4,female,Pakistan,intermediate,3-4,3.0,2.0,2.0,3.0,3.0,1,1,0,1,3.0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,lively,2.0,part-time,3.0,2.0,3.0,2.0,30.0,2.6666666666666665,0,0,1,0,0,1,1,1,1,2
5,female,Pakistan,intermediate,3-4,2.0,1.0,2.0,4.0,4.0,1,1,0,0,4.0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,lively,3.0,study-only,2.0,2.0,2.0,2.0,60.0,3.3333333333333335,1,0,1,0,1,1,1,0,1,2
6,male,Pakistan,intermediate,5-6,1.0,3.0,2.0,2.0,2.0,1,1,1,1,3.0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,quiet,2.0,work-and-study,3.0,2.0,2.0,3.0,60.0,2.0,0,0,1,0,0,0,1,1,0,2
7,male,Pakistan,advanced,3-4,3.0,3.0,4.0,3.0,3.0,1,0,1,1,4.0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,lively,2.0,work-and-study,2.0,3.0,2.0,3.0,45.0,3.3333333333333335,1,0,1,1,1,0,1,1,1,1
8,female,Pakistan,advanced,3-4,2.0,2.0,1.0,2.0,2.0,1,1,0,1,3.0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,quiet,3.0,study-only,2.0,2.0,3.0,3.0,45.0,1.6666666666666667,0,0,1,0,1,1,1,0,0,1
9,female,Pakistan,advanced,5-6,,4.0,2.0,3.0,3.0,0,0,0,1,3.0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,lively,3.0,study-only,2.0,2.0,2.0,3.0,45.0,2.6666666666666665,0,0,1,0,1,1,1,0,1,2
10,male,Pakistan,advanced,5-6,3.0,1.0,2.0,2.0,2.0,0,1,0,1,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,lively,1.0,part-time,1.0,2.0,2.0,2.0,60.0,2.0,0,1,1,0,0,0,1,1,1,1
11,male,Pakistan,advanced,3-4,2.0,3.0,2.0,2.0,1.0,1,0,1,1,2.0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,noisy,2.0,full-time,2.0,1.0,2.0,2.0,45.0,1.6666666666666667,0,0,1,0,0,0,1,1,1,2
12,female,Pakistan,advanced,5-6,2.0,3.0,2.0,2.0,2.0,1,1,1,1,2.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,quiet,1.0,full-time,2.0,2.0,2.0,2.0,45.0,2.0,0,0,1,0,0,1,1,1,0,1
13,female,Pakistan,intermediate,3-4,3.0,1.0,3.0,3.0,2.0,1,1,1,1,2.0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,quiet,,study-only,2.0,2.0,3.0,2.0,30.0,2.6666666666666665,0,0,1,1,1,1,1,0,0,1
14,male,Pakistan,advanced,3-4,4.0,2.0,4.0,4.0,4.0,1,1,0,1,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,quiet,1.0,work-and-study,1.0,3.0,1.0,5.0,30.0,4.0,1,1,1,1,1,0,1,1,0,0
15,male,Pakistan,advanced,3-4,4.0,2.0,2.0,3.0,4.0,1,1,1,1,4.0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,lively,1.0,work-and-study,1.0,3.0,2.0,4.0,,3.0,1,1,1,0,1,0,1,1,1,3
16,male,Pakistan,advanced,3-4,1.0,2.0,1.0,2.0,1.0,1,1,1,1,4.0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,quiet,2.0,study-only,2.0,2.0,3.0,2.0,30.0,1.3333333333333333,1,0,1,0,0,0,1,0,0,3
17,male,Pakistan,advanced,3-4,3.0,2.0,2.0,2.0,2.0,1,1,1,1,3.0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,lively,3.0,study-only,3.0,2.0,3.0,1.0,45.0,2.0,0,0,1,0,0,0,1,0,1,2
18,male,Pakistan,advanced,3-4,2.0,2.0,2.0,2.0,1.0,1,1,1,1,3.0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,lively,2.0,work-and-study,4.0,1.0,1.0,2.0,45.0,1.6666666666666667,0,0,0,0,0,0,1,1,1,3
19,male,other,advanced,5-6,2.0,2.0,2.0,3.0,2.0,1,1,1,1,2.0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,lively,2.0,study-only,3.0,1.0,1.0,2.0,60.0,2.3333333333333335,0,0,1,0,0,0,0,0,1,1
20,male,Pakistan,intermediate,3-4,3.0,3.0,3.0,3.0,3.0,1,1,1,1,3.0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,quiet,,work-and-study,1.0,3.0,2.0,3.0,30.0,3.0,0,1,1,1,1,0,1,1,0,3
21,male,Pakistan,intermediate,3-4,2.0,2.0,2.0,3.0,2.0,1,0,1,1,1.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,noisy,1.0,study-only,2.0,2.0,2.0,2.0,45.0,2.3333333333333335,0,0,1,0,0,0,1,0,1,1
22,female,Pakistan,advanced,5-6,4.0,4.0,2.0,2.0,3.0,0,0,0,1,3.0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,lively,1.0,study-only,1.0,2.0,2.0,4.0,45.0,2.3333333333333335,0,1,1,0,1,1,1,0,1,1
23,male,Pakistan,intermediate,3-4,2.0,2.0,1.0,1.0,2.0,1,1,0,1,1.0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,noisy,1.0,full-time,1.0,2.0,1.0,1.0,45.0,1.3333333333333333,0,1,1,0,0,0,1,1,1,1
24,female,Pakistan,advanced,3-4,2.0,2.0,2.0,2.0,2.0,1,1,0,1,3.0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,lively,2.0,study-only,2.0,2.0,2.0,2.0,60.0,2.0,0,0,1,0,1,1,1,0,1,1
25,male,Pakistan,advanced,3-4,2.0,1.0,1.0,1.0,1.0,1,0,1,1,2.0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,quiet,1.0,full-time,1.0,1.0,1.0,2.0,30.0,1.0,0,1,1,0,0,0,1,1,0,1
26,male,Pakistan,advanced,3-4,4.0,2.0,3.0,4.0,3.0,1,0,1,0,4.0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,lively,,work-and-study,1.0,2.0,2.0,4.0,45.0,3.3333333333333335,1,1,1,1,0,0,1,1,1,1
27,male,Pakistan,advanced,3-4,2.0,2.0,2.0,1.0,2.0,1,1,1,1,2.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,quiet,2.0,full-time,3.0,2.0,3.0,3.0,45.0,1.6666666666666667,0,0,1,0,0,0,1,1,0,3
28,male,Pakistan,intermediate,1-2,1.0,1.0,2.0,1.0,1.0,1,1,1,1,1.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,noisy,1.0,part-time,1.0,1.0,1.0,1.0,60.0,1.3333333333333333,0,1,1,0,0,0,1,1,1,1
29,male,Pakistan,intermediate,3-4,1.0,1.0,1.0,1.0,1.0,1,1,0,1,1.0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,noisy,1.0,study-only,1.0,1.0,1.0,1.0,60.0,1.0,0,1,1,0,0,0,1,0,1,1
